,id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,profile_url,release_year
144,457,The Third Age,https://www.mmobomb.com/g/457/thumbnail.jpg,"Embark on an epic tale of glory in The Third Age, a free-to-play browser MMORPG from R2 Games that evokes images of the most legendary of all fantasy worlds. The Third Age offers a heavy PvE story-driven gameplay experience, though you can engage in PvP if you desire.",https://www.mmobomb.com/open/the-third-age,Strategy,Web Browser,R2 Games,R2 Games,2019-04-29,https://www.mmobomb.com/the-third-age,2019
145,91,Eternal,https://www.mmobomb.com/g/91/thumbnail.jpg,"Enter a world of strategy and subterfuge in Dire Wolf Digital's free-to-play competitive online CCG Eternal, designed by professional CCG players. Eternal strives for a strategic CCG experience on par with the best games in the physical realm, while optimizing the experience for online, digital gampelay.",https://www.mmobomb.com/open/eternal,Card Game,PC (Windows),Dire Wolf Digital,Dire Wolf Digital,2018-11-15,https://www.mmobomb.com/eternal,2018
146,503,Artifact,https://www.mmobomb.com/g/503/thumbnail.jpg,"Valve's Dota 2 CCG Artifact is now free-to-play, coming in two different versions: Classic and Foundry. Artifact Classic plays like the game when it launched, offering wilder, more chaotic battles, while Artifact Foundry puts more emphasis on heroes and reduces the game's overall randomness.",https://www.mmobomb.com/open/artifact,Card Game,PC (Windows),Valve,Valve,2018-11-29,https://www.mmobomb.com/artifact,2018
147,299,Combat Arms: Reloaded,https://www.mmobomb.com/g/299/thumbnail.jpg,"Combat Arms is one of the most played free MMOFPS in the market nowadays, both thanks to its easy to play, hard to master gameplay and to the low system requirements. A huge playerbase is battling in a dangerous war zone swarming with soldiers of fortune looking to leave their a mark.",https://www.mmobomb.com/open/combat-arms,Shooter,PC (Windows),"VALOFE, NEXON",Doobic Studios,2018-10-31,https://www.mmobomb.com/combat-arms,2018
148,68,Dreadnought,https://www.mmobomb.com/g/68/thumbnail.jpg,"Dreadnought is a sci-fi, multi-player space combat simulator from Yager. Players will take control of a variety of unique ships to combat opposing teams in a strategic environment.",https://www.mmobomb.com/open/dreadnought,Shooter,PC (Windows),Grey Box,Yager Development,2018-10-14,https://www.mmobomb.com/dreadnought,2018
149,28,Spacelords,https://www.mmobomb.com/g/28/thumbnail.jpg,"Experience an epic sci-fi story as either rugged Raiders or invading Antagonists in Spacelords from MercurySteam! Formerly known as Raiders of the Broken Planet, Spacelords is a rework of the game, with all the action and cinematic story of the original, in free-to-play form.",https://www.mmobomb.com/open/spacelords,Shooter,PC (Windows), MercurySteam Entertainment,MercurySteam,2018-09-22,https://www.mmobomb.com/spacelords,2018
150,1135,World War 3,https://www.mmobomb.com/g/1135/thumbnail.jpg,MY.GAMES and friends take to the real world for a more realistic take on military FPS combat.,https://www.mmobomb.com/open/world-war-3,Shooter,PC (Windows),"MY.GAMES, The 4 Winds Entertainment",The Farm 51,2018-09-19,https://www.mmobomb.com/world-war-3,2018
151,450,Battlerite Royale,https://www.mmobomb.com/g/450/thumbnail.jpg,"Battlerite Royale is a free-to-play battle royale game based on the popular gameplay from Stunlock Studios' Battlerite. Join in the action on a map that's 30 times larger than your typical Battlerite map but watch out for the encroaching Death Vortex, which will spell your doom!",https://www.mmobomb.com/open/battlerite-royale,MOBA,PC (Windows),Stunlock Studios,Stunlock Studios,2018-09-26,https://www.mmobomb.com/battlerite-royale,2018
152,454,Magic: The Gathering Arena,https://www.mmobomb.com/g/454/thumbnail.jpg,"Magic: The Gathering Arena is the free-to-play online adaptation of the first collectible card game, Wizards of the Coast's Magic: The Gathering. Offering an authentic MTG experience, but with the convenience and speed of a digital game, Arena is ""as much fun to watch as it is to play."" Utilizing a new game engine that can take all the rules of the game into account, Arena is meant as a complement to the physical game, with no compromises for its new platform As in regular Magic: The Gathering, you'll build a deck of 60 cards and summon creatures and cast spells from five different colors of magic.",https://www.mmobomb.com/open/mtg-arena,Card Game,PC (Windows),Wizards of the Coast,Wizards of the Coast,2018-09-27,https://www.mmobomb.com/mtg-arena,2018
153,341,League of Angels 3,https://www.mmobomb.com/g/341/thumbnail.jpg,"Embark on an epic quest to save world in League of Angels III, the latest entry in the free-to-play browser-based MMORPG franchise. Recruit your team of angels to fight against demonic beasts and their vile masters in a gorgeously rendered fantasy world.",https://www.mmobomb.com/open/league-of-angels-3,MMORPG,Web Browser,GTArcade Entertainment,GTArcade Entertainment,2018-08-14,https://www.mmobomb.com/league-of-angels-3,2018
